RabbinicTerm,Term(English),PhraseContext,PhraseContext (English)
א"א (אי אפשר),impossible,א"א,-
א"ע (את עצמו),itself,א"ע,-
אבל,However,אבל הכא שאני דהוי קדושה,However here it is different because it involves sanctity
אדרבה,On the contrary / the opposite,אדרבה! מהאי טעמא לא שנא,On the contrary! For this very reason it makes no difference
אהבת השם,love of God,העבודה צריכה להיות מתוך אהבת השם ויראתו,Service must be performed out of love of God and fear of Him
אולם,However,אולם צריך עיון במה שכתב הרמב״ם,However what the Rambam wrote requires examination
אורייתא,Aramaic for Torah,phr,phr-mng
אז,then,phr,phr-mng
אי הכי,If so,אי הכי אמאי קתני מיחייב?,If so why does it teach that he is liable?
אי נמי,Or alternatively,אי נמי דאמר רבי יוחנן משום חשדא,Or alternatively that which Rabbi Yochanan said regarding suspicion
איכא,There is,איכא דאמרי להא שמעתא הכי,There are those who say this tradition thus
איתא,there is,phr,phr-mng
איתימא,there are those who say,phr,phr-mng
אלו הן,these are them,phr,phr-mng
אלא,Rather,לא כן אלא כך הוא הדבר,Not so but rather this is how the matter is
אלא מאי,But rather what?,אלא מאי איכא למימר?,But rather what is there to say?
אמאי,Why?,אמאי לא אמר רחמנא בהדיא?,Why didn't the Torah state explicitly?
אמנם,indeed,phr,phr-mng
אין הכי נמי,Yes indeed,אין הכי נמי דתנן במשנה,Indeed yes for we learned in the Mishnah
אין סוף,Without End,האור העליון שבאין סוף ברוך הוא,The supernal light that is in the Ein Sof blessed be He
אך,But,אך צריך להבין הטעם לחילוק זה,But one needs to understand the reason for this distinction
אסור,Forbidden,אסור לאדם שיקדים תפילתו לנץ החמה,It is forbidden for a person to advance his prayer before sunrise
אע"פ (אף על פי),even though,phr,phr-mng
אף על פי,Even though,אף על פי כן צריך לברך עליו,Even though this is so one needs to recite a blessing over it
בבחי׳,in the aspect of,(בבחינת),in the aspect or quality of
בחינה,aspect character of,phr,phr-mng
בענין,Regarding the matter of,בענין קריאת שמע יש לדעת,Regarding the matter of reciting the Shema one should know
בו"ד,mortal human,(בשר ודם),mortal human
בודאי,Certainly,בודאי שהדבר צריך עיון נוסף,Certainly this matter requires further examination
בירור,Clarification/refinement,בירור הניצוצות הוא עיקר עבודתו של האדם,The refinement of the sparks is the essence of man's service
בנ"י,Children of Israel,(בני ישראל),Children of Israel
בקיצור,In brief,בקיצור כל המצוות תלויות בכוונה,In brief all commandments depend on intention
בשמים,in heaven or spices,phr,phr-mng
בתר,after,phr,phr-mng
בתרא,The last,תנא בתרא הוא דאתא לאפוקי,The last Tanna comes to exclude
ג"כ (גם כן),also,phr,phr-mng
גופא,itself,phr,phr-mng
גמרא,Gemara,גמרא: מנא הני מילי?,The Gemara asks: From where do we derive these matters?
גרידא,only merely,phr,phr-mng
גרסינן,this is the version that we use,phr,phr-mng
דבקות,cleaving to God,הדבקות הוא שורש כל העבודה,Cleaving [to God] is the root of all service
דווקא,Precisely/specifically,דווקא בשבת צריך להוסיף בקדושה,Specifically on Shabbat one needs to add in sanctity
דומיא,similar to,phr,phr-mng
דוחה,push off take precedence over,phr,phr-mng
דמי,It is similar to,הא דמי להא דאמרינן בפרק קמא,This is similar to what we said in the first chapter
הא,this behold,phr,phr-mng
הא !?,is it not,phr,phr-mng
הדדי,one another,phr,phr-mng
הוה אמינא,I would have thought,הוה אמינא דאפילו בדיעבד נמי לא,I would have thought that even after the fact it is also not [permitted]
הוו יתבי,they were sitting,phr,phr-mng
הואיל,since,phr,phr-mng
הכי,Thus,הכי גרסינן במתניתא,This is how we learn it in the Mishnah
הכי גרסינן,This is how we learn it,הכי גרסינן: יוצר אור ובורא חושך,This is how we learn it: 'Who forms light and creates darkness'
הכי נמי,So too,הכי נמי דאמר רב אשי,So too, as Rav Ashi said
הכא,here,phr,phr-mng
הלכה כ,The law follows...,הלכה כבית הלל בכל מחלוקת,The law follows Beit Hillel in every dispute
הלכתא,The practical law,הלכתא כוותיה דרבי יהושע,The practical law follows Rabbi Yehoshua
ההוא,That one,ההוא דאמר רבא בפרק בתרא,That which Rava said in the last chapter
הנה,Behold,הנה יש לדעת כי כל מצווה צריכה כוונה,Behold one should know that every commandment requires intention
הספיק,have enough have enough time,phr,phr-mng
הקדוש ברוך הוא,The Holy One Blessed be He,הקדוש ברוך הוא בורא כל יום מעשה בראשית,The Holy One Blessed be He creates anew each day the work of creation
הקשו,they raised a question they found a difficulty,phr,phr-mng
התבודדות,Secluded meditation,התבודדות בשדה היא דרך חשובה בעבודת השם,Secluded meditation in the field is an important way in the service of God
התם,there,phr,phr-mng
היאך,How?,היאך אפשר לקיים מצווה זו כהלכתה?,How is it possible to fulfill this commandment according to its law?
היינו,is equal to that is,phr,phr-mng
היכא,where,phr,phr-mng
ואי בעית אימא,And if you wish say,ואי בעית אימא מהאי קרא דכתיב,And if you wish say [it is derived] from this verse that is written
ואין ספק,And there is no doubt,ואין ספק שהדבר כן הוא,And there is no doubt that the matter is so
ואם כן,And if so,ואם כן יש להקשות על דברי הרמב״ם,And if so there is to question the words of the Rambam
ודאי,Certain,ספק ודאי ודאי עדיף,Between doubt and certainty certainty is preferable
ודע מה שאמר,And know what he said,ודע מה שאמר הבעל התניא בזה,And know what the Ba'al HaTanya said about this
וגו׳,etc,(וגומר),etc
והנה,And behold,והנה יש להבין מה שכתב הרש״י,And behold one needs to understand what Rashi wrote
והיינו,is equal to the same thing,phr,phr-mng
וכו״,and so on etc,(וכולי),and so on etc
ולא זו אף זו,Not only this but also this,ולא זו אף זו שאסור אפילו בדיעבד,Not only this but also that it is forbidden even after the fact
ולא עוד אלא,not only that but also,phr,phr-mng
ומי איכא,and is there?,phr,phr-mng
ונראה לי,And it seems to me,ונראה לי דהכי פירושא דמילתא,And it seems to me that this is the explanation of the matter
ועוד,And another thing,ועוד דאפילו לרבי יהודה יש לחלק,And another thing even according to Rabbi Yehuda there is to distinguish
ותו,And furthermore,ותו לא והא קמ״ל,And furthermore no but this comes to teach us
וזה,And this is,וזה לשון הרמב״ם בפרק זה,And this is the language of the Rambam in this chapter
וזה לשון,And this is the language of,וזה לשון הגמרא שם,And this is the language of the Gemara there
