RabbinicTerm,Term(English),PhraseContext,PhraseContext (English)
א״א,(אי אפשר) Impossible,א״א לעשות את זה,It is impossible to do this
א״ע,(את עצמו/ה) Itself/oneself,חיבק א״ע מרוב שמחה,He hugged himself from joy
אבל,However,אבל הכא שאני דהוי קדושה,However here it is different because it involves sanctity
אדרבה,On the contrary / the opposite,אדרבה! מהאי טעמא לא שנא,On the contrary! For this very reason it makes no difference
אהבת השם,Love of God,העבודה צריכה להיות מתוך אהבת השם ויראתו,Service must be performed out of love of God and fear of Him
אולם,However,אולם צריך עיון במה שכתב הרמב״ם,However what the Rambam wrote requires examination
אורייתא,Aramaic for Torah,מילתא דאורייתא היא,It is a matter of Torah law
אז,Then, אז לא אמר קרא,Then the verse would not have said
אי הכי,If so,אי הכי אמאי קתני מיחייב?,If so why does it teach that he is liable?
אי נמי,Or alternatively,אי נמי דאמר רבי יוחנן משום חשדא,Or alternatively that which Rabbi Yochanan said regarding suspicion
איכא,There is,איכא דאמרי להא שמעתא הכי,There are those who say this tradition thus
איתא,There is, איתא בברייתא,It is taught in a baraita
איתימא,There are those who say, איתימא דבר אחר,It might be said otherwise
אלו הן,These are them, אלו הן דברים שאין להם שיעור,These are the things that have no measure
אלא,Rather,לא כן אלא כך הוא הדבר,Not so but rather this is how the matter is
אלא מאי,But rather what?,אלא מאי איכא למימר?,But rather what is there to say?
אמאי,Why?,אמאי לא אמר רחמנא בהדיא?,Why didn't the Torah state explicitly?
אמנם,Indeed, אמנם הכא שאני,However here it is different
אין הכי נמי,Yes indeed,אין הכי נמי דתנן במשנה,Indeed yes for we learned in the Mishnah
אין סוף,Without End,האור העליון שבאין סוף ברוך הוא,The supernal light that is in the Ein Sof blessed be He
אך,But,אך צריך להבין הטעם לחילוק זה,But one needs to understand the reason for this distinction
אסור,Forbidden,אסור לאדם שיקדים תפילתו לנץ החמה,It is forbidden for a person to advance his prayer before sunrise
אע״פ,(אף על פי) Even though,אע״פ כן צריך לברך עליו, Even though this is so one needs to recite a blessing over it
בבחי׳,(בבחינת) In the aspect of,בבחינת מצוה , In the aspect or quality of a Mitzvah
בענין,Regarding the matter of,בענין קריאת שמע יש לדעת,Regarding the matter of reciting the Shema one should know
בו״ד,(בשר ודם) Flesh and blood (eg human),היא רק בו״ד,She is only human
בודאי,Certainly,בודאי שהדבר צריך יון נוסף,Certainly this matter requires further examination
בירור,Clarification/refinement,בירור הניצוצות הוא עיקר עבודתו של האדם,The refinement of the sparks is the essence of man's service
בנ״י,(בני ישראל) Children of Israel,כאשר יצאו בנ״י ממצרים,When the Children of Israel left Egypt
בקיצור,In brief,בקיצור כל המצוות תלויות בכוונה,In brief all commandments depend on intention
בשמים,In-heaven / Spices,לא בשמים היא,It isn't [only] in heaven
בתר,After, בתר רבים אזלינן,We follow the majority
בתרא,The last,תנא בתרא הוא דאתא לאפוקי,The last Tanna comes to exclude
ג״כ,(גם כן) Also,הדין נוהג בגוים ג״כ,This law applies to non-Jews as well
גופא,Itself, גופא קשיא,The matter itself is difficult
גמרא,Gemara,גמרא: מנא הני מילי?,The Gemara asks: From where do we derive these matters?
גרידא,Only/merely, הלכה גרידא,Merely a law
גרסינן,This is the version that we use, הכי גרסינן,Thus we learn
דבקות,Cleaving to God,הדבקות הוא שורש כל העבודה,Cleaving [to God] is the root of all service
דווקא,Precisely/specifically,דווקא בשבת צריך להוסיף בקדושה,Specifically on Shabbat one needs to add in sanctity
דומיא,Similar to, דומיא דסוכה,Similar to a sukkah
דוחה,Push off take precedence over, פיקוח נפש דוחה שבת,Saving life overrides the Sabbath
דמי,It is similar to,הא דמי להא דאמרינן בפרק קמא,This is similar to what we said in the first chapter
הא,This/Behold, הא לן והא להו,This applies to us and that to them
הא !?,Is it not, הא תניא אידך,But wasn't it taught otherwise?
הדדי,One another, קא מדמי הדדי,They are being compared to each other
הוה אמינא,I would have thought,הוה אמינא דאפילו בדיעבד נמי לא,I would have thought that even after the fact it is also not [permitted]
הוו יתבי,They were sitting, הוו יתבי רבנן וקא בעו,The rabbis were sitting and asking
הואיל,Since, הואיל וטמא טמא,Since it is impure
הכי,Thus,הכי גרסינן במתניתא,This is how we learn it in the Mishnah
הכי גרסינן,This is how we learn it,הכי גרסינן: יוצר אור ובורא חושך,This is how we learn it: 'Who forms light and creates darkness'
הכי נמי,It is really so,הכי נמי דאמר רב אשי,It is really so
הכא,Here, הכא במאי עסקינן,What are we dealing with here?
הלכה כ,The law follows...,הלכה כבית הלל בכל מחלוקת,The law follows Beit Hillel in every dispute
הלכתא,(Aramaic) The law,הלכתא כוותיה דרבי יהושע,The law follows Rabbi Yehoshua
ההוא,That one,ההוא דאמר רבא בפרק בתרא,That which Rava said in the last chapter
הנה,Behold,הנה יש לדעת כי כל מצווה צריכה כוונה,Behold one should know that every commandment requires intention
הספיק,Have enough have enough time, הספיק לעשות,There was enough time to do it
הקדוש ברוך הוא,The Holy One Blessed be He,הקדוש ברוך הוא בורא כל יום מעשה בראשית,The Holy One Blessed be He creates anew each day the work of creation
הקשו,They raised a question they found a difficulty, הקשו תלמידיו,His students asked
התבודדות,Secluded meditation,התבודדות בשדה היא דרך חשובה בעבודת השם,Secluded meditation in the field is an important way in the service of God
התם,There, התם איכא למימר,There one can say
היאך,How?,היאך אפשר לקיים מצווה זו כהלכתה?,How is it possible to fulfill this commandment according to its law?
היינו,Is equal to that is, היינו דאמר רבא,That is what Rava said
היכא,Where, היכא דאיכא,Where there is
ואי בעית אימא,And if you wish say,ואי בעית אימא מהאי קרא דכתיב,And if you wish say [it is derived] from this verse that is written
ואין ספק,And there is no doubt,ואין ספק שהדבר כן הוא,And there is no doubt that the matter is so
ואם כן,And if so,ואם כן יש להקשות על דברי הרמב״ם,And if so there is to question the words of the Rambam
ודאי,Certain,ספק ודאי ודאי עדיף,Between doubt and certainty certainty is preferable
ודע מה שאמר,And know what he said,ודע מה שאמר הבעל התניא בזה,And know what the Ba'al HaTanya said about this
וגו׳,(וגומר) and so on,כסף זהב סוסים וגו׳ ,Silver
והנה,And behold,והנה יש להבין מה שכתב הרש״י,And behold one needs to understand what Rashi wrote
וכו״,(וכולי) etc,שבת יום טוב חול המועד וכו׳,Sabbath
ולא זו אף זו,Not only this but also this,ולא זו אף זו שאסור אפילו בדיעבד,Not only this but also that it is forbidden even after the fact
ולא עוד אלא ,Not only that but (also) ,ולא עוד אלא אסור,Not only that but (also) it is forbidden
ומי איכא,And is there?, ומי איכא מידי דחמיר,Is there anything more stringent?
ונראה לי,And it seems to me,ונראה לי דהכי פירושא דמילתא,And it seems to me that this is the explanation of the matter
ועוד,And another thing,ועוד דאפילו לרבי יהודה יש לחלק,And another thing even according to Rabbi Yehuda there is to distinguish
ותו,And furthermore,ותו לא והא קמ״ל,And furthermore no but this comes to teach us
וזה,And this is,וזה לשון הרמב״ם בפרק זה,And this is the language of the Rambam in this chapter
וזה לשון,And this is the language of,וזה לשון הגמרא שם,And this is the language of the Gemara there
ח״ו,(חס וחלילה / חס ושלום) God forbid,אל יחשוב אדם מחשבות רעות ח״ו,A person should not think evil thoughts
חידוש,Novel interpretation,חידוש גדול חידש לנו הבעש״ט,The Ba'al Shem Tov innovated a great novel teaching for us
חייב,Obligated/liable,חייב אדם לברך מאה ברכות בכל יום,A person is obligated to recite one hundred blessings every day
חז״ל,(חכמינו זכרונם לברכה) Our Sages of blessed memory,כמאמר חז״ל גדול השלום,As our Sages said 'Great is peace
חשאי,Secret, במילי דחשאי,In matters that are private/secret
י״ל,(יש לומר) there is to say,על פסוק זה י״ל שני פירושים,Regarding this verse
יחוד,Unification,יחוד השם הוא תכלית כל המצוות,The unification of God's name is the purpose of all commandments
יותר מזה,More than this,יותר מזה אפילו במחשבה אסור,More than this even in thought it is forbidden
יראת שמים,Fear of Heaven,יראת שמים קודמת לחכמה,Fear of Heaven precedes wisdom
כאמור,As it is said,כאמור בגמרא דידן,As it is said in our Gemara
כביכול,If it could be said, כביכול נס,As it were
כגון,For example,כגון תפילין ומזוזה ומצוות אחרות,For example tefillin and mezuzah and other commandments
כדי,So that, כדי שיהא,In order that it should be
כולי עלמא,Everyone agrees,כולי עלמא לא פליגי דאסור,Everyone agrees they do not dispute that it is forbidden
כוונה,Intention,כוונה היא חיות התפילה,Intention is the vitality of prayer
כעין,Like similar to, כעין זה,Something like this
כי פליגי,Where they disagree,כי פליגי בדעת התלמיד,Where they disagree is regarding the student's opinion
כיון,Since,כיון דכתיב קרא הכי,Since the verse is written thus
כיצד,How so?,כיצד מברכים ברכת המזון?,How does one recite the Grace After Meals?
כלומר,That is to say, כלומר הכי קאמר,In other words: this is what they/it says
כנ״ל,(כנזכר לעיל כנראה למעלה) As appears/mentioned above,הטעם בזה כנ״ל בסימן הקודם,The reason for this is as mentioned in the previous section
כפי ש,According to,כפי שנתבאר במקום אחר,According to what was explained elsewhere
כש,When,כשאדם מתפלל צריך לכוון לבו,When a person prays he needs to direct his heart
