book_number,short_name,long_name,book_color,is_present
10,ברא',בְּרֵאשִׁית‎,#ccccff,1
20,שמות,שְׁמוֹת‎,#ccccff,1
30,ויק',וַיִּקְרָא‎,#ccccff,1
40,במד',בְּמִדְבַּר‎,#ccccff,1
50,דבר',דְּבָרִים‎,#ccccff,1
60,יהושע,יְהוֹשֻׁע‎,#ffcc99,1
70,שפט',שׁוֹפְטִים‎,#ffcc99,1
80,רות,רוּת‎,#ffcc99,1
90,"שמ""א",שְׁמוּאֵל א‎,#ffcc99,1
100,"שמ""ב",שְׁמוּאֵל ב‎,#ffcc99,1
110,"מל""א",מְלָכִים א‎,#ffcc99,1
120,"מל""ב",מְלָכִים ב‎,#ffcc99,1
130,"דהי""א",דִּבְרֵי הַיָּמִים א‎,#ffcc99,1
140,"דהי""ב",דִּבְרֵי הַיָּמִים ב‎,#ffcc99,1
150,עזרא,עֶזְרָא‎,#ffcc99,1
160,נחמ',נְחֶמְיָה‎,#ffcc99,1
190,אסתר,אֶסְתֵּר‎,#ffcc99,1
220,איוב,אִיּוֹב‎,#66ff99,1
230,תהל',תְּהִלִים‎,#66ff99,1
240,משלי,מִשְׁלֵי‎,#66ff99,1
250,קהלת,קֹהֶלֶת‎,#66ff99,1
260,"שה""ש",שִׁיר הַשִּׁירִים‎,#66ff99,1
290,ישע',יְשַׁעְיָהוּ‎,#ff9fb4,1
300,ירמ',יִרְמְיָהוּ‎,#ff9fb4,1
310,איכה,אֵיכָה‎,#ff9fb4,1
330,יחז',יְחֶזְקֵאל‎,#ff9fb4,1
340,דנ',דָּנִיֵּאל‎,#ff9fb4,1
350,הושע,הוֹשֵׁע‎,#ffff99,1
360,יואל,יוֹאֵל‎,#ffff99,1
370,עמוס,עָמוֹס‎,#ffff99,1
380,עבד',עֹבַדְיָה‎,#ffff99,1
390,יונה,יוֹנָה‎,#ffff99,1
400,מיכה,מִיכָה‎,#ffff99,1
410,נחום,נַחוּם‎,#ffff99,1
420,חבק',חֲבַקּוּק‎,#ffff99,1
430,צפנ',צְפַנְיָה‎,#ffff99,1
440,חגי,חַגַּי‎,#ffff99,1
450,זכר',זְכַרְיָה‎,#ffff99,1
460,מלא',מַלְאָכִי‎,#ffff99,1
